"tinh","1_[25,55)","1_[5,25)","1_[55,105]","2_[25,55)","2_[5,25)","2_[55,105]"
72,0.401572584341378,0.0969896145606643,0.0668008840694354,0.373084770851511,0.0567345788617776,0.00481756731523322
10,0.303630419119346,0.158022811620604,0.0364571296510284,0.329001209913131,0.145600810233962,0.0272876194619285
67,0.31553081909781,0.132424056413097,0.0460003293758328,0.322021020166784,0.148634587456769,0.035389187489707
70,0.312643708452198,0.132274365376887,0.0583596318428282,0.378520651192821,0.0772187926184092,0.0409828505168563
11,0.235247872556652,0.228647908605264,0.0391779382494947,0.253314363070882,0.201412031799478,0.0421998857182302
12,0.266334334404246,0.191485368068166,0.0205117684034083,0.262414443358011,0.214895585975695,0.0443584997904735
89,0.374005956802529,0.103305215824017,0.0862429676636807,0.324388660770464,0.0669323603226388,0.0451248386166697
58,0.341890889857973,0.123115773317224,0.108306412722776,0.297748002343778,0.081819643144189,0.0471192786140596
95,0.387925659724411,0.139079783396031,0.060424241150551,0.2669265634085,0.0971145156883761,0.0485292366321305
96,0.404096375651603,0.0731257439559989,0.0800188810901777,0.3510625743956,0.0429339572302262,0.0487624676763945
68,0.32524830695414,0.159082568098496,0.0597848972196575,0.317973907970933,0.088855450777082,0.0490548689796912
14,0.282434472323385,0.152213752241394,0.0490100173926778,0.295732960470697,0.171029793710994,0.0495790038608514
6,0.303751819193562,0.120419912678709,0.0551964729047171,0.318134149473504,0.15168328910196,0.0508143566475473
4,0.255138157521378,0.210003614108764,0.0361381007709103,0.281097016418807,0.166464057539001,0.0511590536411399
60,0.380368258122016,0.152584396436885,0.0625797031369258,0.308238400675077,0.0445484239519482,0.0516808176771484
64,0.270019647942439,0.150055915453645,0.065126452844026,0.314974578080048,0.146741123307714,0.0530822823721287
66,0.365234473876897,0.112629448669366,0.055845517282254,0.339988664945418,0.0702921554754611,0.0560097397506041
2,0.224039938556068,0.267884828349945,0.0352838209552388,0.221169578108813,0.195525667131068,0.0560961668988676
17,0.286191444338409,0.123270588126818,0.0454822068240599,0.354943778266462,0.132331991756912,0.0577799906873389
8,0.320922127502713,0.116513588826821,0.0551518447963416,0.340149872786,0.108870437631628,0.0583921284564959
15,0.275358376404448,0.164975421300074,0.0368721715260776,0.324372892812688,0.133367955090635,0.065053182866077
77,0.41765642971811,0.101973785374675,0.0448453386312054,0.302003309119762,0.0663300139622711,0.0671911231939772
84,0.351282352973368,0.0829254010687871,0.0848873067167222,0.364000536308936,0.0478300010124199,0.0690744019197671
20,0.279037195145711,0.163050772607817,0.051296483108269,0.279600036368202,0.157424525156838,0.0695909876131636
91,0.331665309814564,0.174639529624604,0.0860027137042062,0.287057440072365,0.0476164631388512,0.0730185436454093
38,0.29630420490972,0.114005493749459,0.0758698011955785,0.318946300892352,0.121603481752904,0.0732707174999873
54,0.363373535198016,0.110902973797508,0.0843897014797708,0.320063866792119,0.0468793658939925,0.0743905568385938
40,0.259576583532428,0.151222248120739,0.0638432832197036,0.319711725229687,0.130661456208846,0.0749847036885962
92,0.335331343365894,0.0914167143477572,0.0986653890432301,0.357935627081021,0.0390146214351204,0.0776363047269769
87,0.387402487185802,0.122754082560111,0.100111088865777,0.28984980856217,0.0215126157618623,0.0783699170642774
30,0.296391158109249,0.0781941089546829,0.0995713898274153,0.40565633625748,0.0417660462675937,0.078420960583579
93,0.350674434173231,0.0915008474938396,0.0990157676584956,0.292668822197217,0.0832965373823123,0.0828435910949051
24,0.304685480271696,0.091083194960173,0.0818393104965099,0.380169700586634,0.0570954884133111,0.0851268252716766
1,0.266037482302996,0.0626284485673945,0.07243114010423,0.419160593587618,0.0920702772482918,0.0876720581894699
25,0.287244622352729,0.109046082247185,0.0530022023075751,0.351054752967575,0.110781611424297,0.0888707287006385
75,0.314132573444603,0.0984527605736643,0.10338945266688,0.308241174209015,0.085589253002239,0.0901947861035995
62,0.245002402936695,0.173849913596532,0.0582175322351401,0.25385236765954,0.176329539760933,0.0927482438111599
56,0.363369832591548,0.0816286394621629,0.0887600640224623,0.274313256219952,0.0968233845371836,0.0951048231666914
19,0.283755397067235,0.0929451325582141,0.0923073548591743,0.341769546283595,0.0933264493835659,0.0958961198482157
27,0.300606199790278,0.0484483191930047,0.0479608461665121,0.412174693000321,0.0947235919612448,0.0960863498886395
94,0.323529025278032,0.125822926750211,0.0887928655590646,0.314972339148755,0.0501268062776773,0.0967560369862594
44,0.281484805105086,0.113288084571977,0.138996313151816,0.256600360375759,0.112499910974368,0.0971305258209944
82,0.332576758506164,0.0811752263663802,0.0893268403253373,0.333049491508988,0.0625734857392211,0.10129819755391
45,0.289126370058597,0.106979964482135,0.101448878527339,0.304917737809314,0.0951276374361422,0.102399411686473
26,0.284256466664301,0.0524642514991307,0.0565045121763711,0.386556907828596,0.117252717359165,0.102965144472436
86,0.381077790922964,0.0752499014111071,0.0988220770536495,0.321389503283439,0.0204310477856077,0.103029679543233
42,0.290074332746275,0.0895895466526715,0.0930732107742952,0.348213339523524,0.0738684820072365,0.105181088295999
52,0.308949588438204,0.0681954542406001,0.098307167755162,0.354158849620885,0.0642366303593213,0.106152309585828
51,0.292883888653482,0.0804538261313225,0.10981416304188,0.330468094673942,0.076775136415915,0.109604891083458
35,0.324475385276215,0.0381976092445338,0.100061811819677,0.381030581135871,0.0431058867900808,0.113128725733622
31,0.253917605639204,0.0693030765572626,0.0905881585911193,0.385338605386085,0.0866897287014949,0.114162825124834
74,0.313875363979188,0.132321351854504,0.113006587426607,0.305175664709533,0.0199144350565659,0.115706596973603
80,0.319171991181856,0.0751135208270649,0.112291714602053,0.31390745668116,0.0610465745127307,0.118468742195136
33,0.296780876789403,0.0409809562840967,0.0778574326509009,0.404895719849166,0.057003461932133,0.1224815524943
83,0.313782259573501,0.0976695243479678,0.0945710761876211,0.338736839140241,0.0326322926705605,0.122608008080109
37,0.294758820398986,0.0693789882970002,0.0787087865988426,0.340727014704261,0.0923439080636114,0.1240824819373
49,0.293139686029754,0.0629780996468533,0.109579001165105,0.364319531197363,0.0417350693229082,0.128248612638017
22,0.225632835642261,0.112212381436821,0.0950300709134975,0.323714879865953,0.114968881840759,0.128440950300709
36,0.291277172347494,0.0742124354263134,0.0967647919351942,0.35480536674691,0.0486574660342126,0.134282767509876
46,0.250570786681035,0.0964949131490986,0.164493110985284,0.251407940479887,0.0793804453049371,0.157652803399758
34,0.226725711748162,0.0202114274436276,0.179069423200276,0.328003651255736,0.0456345290373514,0.200355257314847
48,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA
